CITY_NAME,COUNTRY_NAME
Milano,Italy
Amsterdam,Netherlands
Bergamo,Italy
Madrid,Spain
Munchen,Germany
Istanbul,Turkey
Dortmund,Germany
Bern,Switzerland
London,England
Brugge,Belgium
Kiev,Ukraine
Barcelona,Spain
Porto,Portugal
Tiraspol,Moldova
Torino,Italy
Villeneuve D’Ascq,France
Liverpool,England
Malmo,Sweden
Manchester,England
Paris,France
Leipzig,Germany
Sevilla,Spain
Donetsk,Ukraine
Lisboa,Portugal
Wolfsburg,Germany
Villarreal,Spain
St. Petersburg,Russia
Paris - St. Denis,France
Monchengladbach,Germany
Herning,Denmark
Budapest,Hungary
Krasnodar,Russia
Roma,Italy
Moskva,Russia
Piraus,Greece
Marseille,France
Rennes,France
Bucuresti,Romania
Leverkusen,Germany
Beograd,Serbia
Zagreb,Croatia
Genk,Belgium
Decines-Charpieu,France
Praha,Czech Republic
Napoli,Italy
Valencia,Spain
Kharkiv,Ukraine
Sinsheim,Germany
Athen,Greece
Monaco,France
Gelsenkirchen,Germany
Eindhoven,Netherlands
Plzen,Czech Republic
Nikosia,Cyprus
Glasgow,Scotland
Basel,Switzerland
Rotterdam,Netherlands
Maribor,Slovenia
Baku,Azerbaijan
Bruxelles,Belgium
København,Denmark
Rostov-na-Donu,Russia
Warszawa,Poland
Leicester,England
Razgrad,Bulgaria
Sofia,Bulgaria
Khimki,Russia
Cardiff,Wales
