ID,FIRST_NAME,LAST_NAME,NATIONALITY,DOB,TEAM_ID
1,Stefano,Pioli,Italy,10/19/1965,1
2,Alfred,Schreuder,Netherlands,11/2/1972,2
3,Gian Piero,Gasperini,Italy,1/26/1958,3
4,Diego,Simeone,Argentina,4/28/1970,4
5,Julian,Nagelsmann,Germany,7/23/1987,5
6,Valerien,Ismael,France,9/28/1975,6
7,Edin,Terzic,Germany,10/30/1982,7
8,Raphael,Wicky,Switzerland,4/26/1977,8
9,Graham,Potter,England,5/20/1975,9
10,Carl,Hoefkens,Belgium,10/6/1978,10
11,Mircea,Lucescu,Romania,7/29/1945,11
12,Calvin,Xavi,Spain,1/25/1980,12
13,Sergio,Conceicao,Portugal,11/15/1974,13
14,Stjepan,Tomas,Croatia,6/3/1976,14
15,Simone,Inzaghi,Italy,4/5/1976,15
16,Massimiliano,Allegri,Italy,8/11/1967,16
17,Paulo,Fonseca,Portugal,3/5/1973,17
18,Jurgen,Klopp,Germany,6/16/1967,18
19,Age,Hareide,Norway,9/23/1953,19
20,Pep,Guardiola,Spain,1/18/1971,20
21,Erik ten,Hag,Netherlands,2/2/1970,21
22,Christophe,Galtier,France,8/26/1966,22
23,Marco,Rose,Germany,9/11/1976,23
24,Matthias,Jaissle,Germany,4/5/1988,24
25,Carlo,Ancelotti,Italy,6/10/1959,25
26,Chris,Lopetegui,Spain,9/28/1966,26
27,Igor,Jovicevic,Croatia,11/30/1973,27
28,Roger,Schmidt,Germany,3/13/1967,28
29,Ruben,Amorim,Portugal,1/27/1985,29
30,Niko,Kovac,Croatia,10/15/1971,30
31,Unai,Emery,Spain,11/3/1971,31
32,Sergey,Semak,Russia,2/27/1976,32
33,Daniel,Farke,Germany,10/30/1976,33
34,Albert,Capellas,Spain,10/1/1967,34
35,Stanislav,Cherchesov,Russia,9/2/1963,35
36,Aleksandr,Storozhuk,Russia,8/10/1981,36
37,Emre,Belozoglu,Turkey,9/7/1980,37
38,Maurizio,Sarri,Italy,1/10/1959,38
39,Joe,Zinnbauer,Germany,5/1/1970,39
40,Carlos,Corberan,Spain,4/7/1983,40
41,,Michel,Spain,3/23/1963,40
42,Igor,Tudor,Croatia,4/16/1978,41
43,Bruno,Genesio,France,9/1/1966,42
44,Xabi,Alonso,Spain,11/25/1981,43
45,Milos,Milojevic,Serbia,9/29/1982,44
46,Ante,Cacic,Croatia,9/29/1953,45
47,Okan,Buruk,Turkey,10/19/1973,46
48,Wouter,Vrancken,Belgium,2/3/1979,47
49,Peter,Bosz,Netherlands,11/21/1963,48
50,Luciano,Spalletti,Italy,3/7/1959,50
51,Antonio,Conte,Italy,7/31/1969,51
52,Gennaro,Gattuso,Italy,1/9/1978,52
53,Andre,Breitenreiter,Germany,10/2/1973,53
54,Matias,Almeyda,Argentina,12/21/1973,54
55,Philippe,Clement,Belgium,3/22/1974,55
56,Jose,Mourinho,Portugal,1/26/1963,56
57,Vladimir,Fedotov,Russia,8/12/1966,57
58,Frank,Kramer,Germany,5/3/1972,58
59,Ruud van,Nistelrooy,Netherlands,7/1/1976,59
60,Sofronis,Avgousti,Cyprus,3/9/1977,61
61,Ange,Postecoglou,Australia,8/27/1965,62
62,Alexander,Frei,Switzerland,7/15/1979,63
63,Arne,Slot,Netherlands,9/17/1978,64
64,Damir,Krznar,Croatia,7/10/1972,65
65,Qurban,Qurbanov,Azerbaijan,4/13/1972,66
66,Felice,Mazzu,Belgium,3/12/1966,67
67,Guillermo,Abascal,Spain,4/13/1989,68
68,Fernando,Torres,Spain,3/20/1984,68
69,Dmitriy,Kombarov,Russia,1/22/1987,69
70,Sandro,Wagner,Germany,11/29/1987,70
71,Stephan,Lichtsteiner,Switzerland,1/16/1984,71
72,Mikel,Arteta,Spain,3/26/1982,69
73,Jacob,Neestrup,Denmark,3/8/1988,70
74,Valeriy,Karpin,Russia,2/2/1969,71
75,Kosta,Runjaic,Germany,6/4/1971,72
76,Brendan,Rodgers,Northern Ireland,1/26/1973,73
77,Ante,Simundza,Slovenia,9/28/1971,74
78,Nuri,Sahin,Turkey,9/5/1988,65
