PLAYER_ID,FIRST_NAME,LAST_NAME,NATIONALITY,DOB,TEAM_ID,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,FOOT
ply510,,Danilo,Brazil,7/15/1991,16,6,Defender,184,78,R
ply511,Mattia De,Sciglio,Italy,10/20/1992,16,2,Defender,182,78,R
ply512,Federico,Gatti,Italy,6/24/1998,16,15,Defender,190,84,R
ply513,Daniele,Rugani,Italy,7/29/1994,16,24,Defender,190,84,R
ply514,Enzo,Barrenechea,Argentina,5/22/2001,16,45,Midfielder,186,81,L
ply515,Nicolo,Fagioli,Italy,2/12/2001,16,44,Midfielder,178,70,R
ply516,Samuel,Iling,England,10/4/2003,16,43,Midfielder,,,
ply517,Filip,Kostic,Serbia,11/1/1992,16,17,Midfielder,184,82,L
ply518,Manuel,Locatelli,Italy,1/8/1998,16,5,Midfielder,186,75,R
ply519,Weston,McKennie,USA,8/28/1998,16,8,Midfielder,183,84,R
ply520,Fabio,Miretti,Italy,8/3/2003,16,20,Midfielder,179,65,R
ply521,Leandro,Paredes,Argentina,6/29/1994,16,32,Midfielder,180,75,R
ply522,Paul,Pogba,France,3/15/1993,16,10,Midfielder,191,84,
ply523,Adrien,Rabiot,France,4/3/1995,16,25,Midfielder,191,80,L
ply524,Marley,Ake,France,1/5/2001,16,33,Forward,177,68,R
ply525,Federico,Chiesa,Italy,10/25/1997,16,7,Forward,175,70,R
ply526,Cosimo Da,Graca,Italy,5/1/2002,16,40,Forward,185,74,R
ply527,Angel Di,Maria,Argentina,2/14/1988,16,22,Forward,180,75,L
ply528,Kaio,Jorge,Brazil,1/24/2002,16,21,Forward,182,71,R
ply529,Moise,Kean,Italy,2/28/2000,16,18,Forward,182,72,R
ply530,Arkadiusz,Milik,Poland,2/28/1994,16,14,Forward,186,78,L
ply531,Matias,Soule,Argentina,4/15/2003,16,30,Forward,176,71,L
ply532,Dusan,Vlahovic,Serbia,1/28/2000,16,9,Forward,190,75,L
ply533,Lucas,Chevalier,France,11/6/2001,17,30,Goalkeeper,192,78,R
ply534,Adam,Jakubech,Slovakia,1/2/1997,17,16,Goalkeeper,188,85,R
ply535,Leo,Jardim,Brazil,3/20/1995,17,1,Goalkeeper,188,82,R
ply536,Alexsandro,Ribeiro,Brazil,8/9/1999,17,4,Defender,192,90,R
ply537,Bafode,Diakite,France,1/6/2001,17,18,Defender,185,82,R
ply538,Gabriel,Gudmundsson,Sweden,4/29/1999,17,5,Defender,181,74,L
ply539,,Ismaily,Brazil,1/11/1990,17,31,Defender,177,82,L
ply540,Jose,Fonte,Portugal,12/22/1983,17,6,Defender,191,81,R
ply541,Tiago,Djalo,Portugal,4/9/2000,17,3,Defender,190,82,R
ply542,Leny,Yoro,France,11/13/2005,17,15,Defender,,,R
ply543,Akim,Zedadka,France,5/30/1995,17,13,Defender,173,70,R
ply544,Benjamin,Andre,France,8/3/1990,17,21,Midfielder,180,68,R
ply545,Andre,Gomes,Portugal,7/30/1993,17,28,Midfielder,188,84,R
ply546,Carlos,Baleba,Cameroon,1/3/2004,17,35,Midfielder,,,L
ply547,Remy,Cabella,France,3/8/1990,17,17,Midfielder,171,68,R
ply548,Angel,Gomes,England,8/31/2000,17,20,Midfielder,168,56,R
ply549,Jonas,Martin,France,4/9/1990,17,8,Midfielder,184,77,R
ply550,Ugo,Raghouber,France,7/13/2003,17,12,Midfielder,179,62,L
ply551,Jonathan,Bamba,France,3/26/1996,17,7,Forward,175,67,R
ply552,Mohamed,Bayo,Guinea,6/4/1998,17,27,Forward,188,76,R
ply553,Jonathan,David,Canada,1/14/2000,17,9,Forward,180,70,
ply554,Jose,Bica,Portugal,6/16/2003,17,39,Forward,176,66,R
ply555,Isaac,Lihadji,France,4/10/2002,17,19,Forward,177,70,L
ply556,Adam,Ounas,Algeria,11/11/1996,17,11,Forward,172,65,L
ply557,Alan,Virginius,France,1/3/2003,17,26,Forward,175,65,R
ply558,Timothy,Weah,USA,2/22/2000,17,22,Forward,183,66,R
ply559,Edon,Zhegrova,Kosovo,3/31/1999,17,23,Forward,181,72,L
ply560,,Adrian,Spain,1/3/1987,18,13,Goalkeeper,190,89,R
ply561,,Alisson,Brazil,10/2/1992,18,1,Goalkeeper,191,88,R
ply562,Harvey,Davies,England,9/3/2003,,,Goalkeeper,190,,L
ply563,Caoimhin,Kelleher,Ireland,11/23/1998,18,62,Goalkeeper,188,74,R
ply564,Trent,Alexander-Arnold,England,10/7/1998,18,66,Defender,180,69,R
ply565,Stefan,Bajcetic,Spain,10/22/2004,18,43,Defender,185,,
ply566,Luke,Chambers,England,6/24/2004,18,88,Defender,181,,L
ply567,Joe,Gomez,England,5/23/1997,18,2,Defender,188,77,R
ply568,Ibrahima,Konate,France,5/25/1999,18,5,Defender,194,95,R
ply569,Joel,Matip,Cameroon,8/8/1991,18,32,Defender,195,89,R
ply570,Nathaniel,Phillips,England,3/21/1997,18,47,Defender,190,84,R
ply571,Calvin,Ramsay,Scotland,7/31/2003,18,22,Defender,177,68,R
ply572,Andrew,Robertson,Scotland,3/11/1994,18,26,Defender,178,64,L
ply573,Kostas,Tsimikas,Greece,5/12/1996,18,21,Defender,179,70,L
ply574,Virgil van,Dijk,Netherlands,7/8/1991,18,4,Defender,193,92,R
ply575,,Arthur,Brazil,8/12/1996,18,29,Midfielder,171,73,R
ply576,Harvey,Elliott,England,4/4/2003,18,19,Midfielder,170,67,L
ply577,,Fabinho,Brazil,10/23/1993,18,3,Midfielder,188,78,R
ply578,Jordan,Henderson,England,6/17/1990,18,14,Midfielder,187,80,R
ply579,Curtis,Jones,England,1/30/2001,18,17,Midfielder,185,75,R
ply580,Naby,Keita,Guinea,2/10/1995,18,8,Midfielder,172,64,R
ply581,James,Milner,England,1/4/1986,18,7,Midfielder,175,70,R
ply582,Alex,Oxlade-Chamberlain,England,8/15/1993,18,15,Midfielder,175,70,R
ply583,,Thiago,Spain,4/11/1991,18,6,Midfielder,174,70,R
ply584,Bobby,Clark,England,2/7/2005,18,50,Forward,178,,R
ply585,Luis,Diaz,Colombia,1/13/1997,18,23,Forward,180,73,R
ply586,Diogo,Jota,Portugal,12/4/1996,18,20,Forward,178,70,R
ply587,Fabio,Carvalho,Portugal,8/30/2002,18,28,Forward,170,63,R
ply588,Darwin,Nunez,Uruguay,6/24/1999,18,27,Forward,187,80,R
ply589,Roberto,Firmino,Brazil,10/2/1991,18,9,Forward,181,76,R
ply590,Mo,Salah,Egypt,6/15/1992,18,11,Forward,175,73,L
ply591,John,Achterberg,Netherlands,7/8/1971,18,,Goalkeeping,189,90,
ply592,Claudio,Taffarel,Brazil,5/8/1966,18,,Goalkeeping,182,80,
ply593,Jack,Robinson,England,,18,,Goalkeeping,,,
ply594,Jordan,Fairclough,England,,18,,Fitness,,,
ply595,John,Hill,England,,18,,Fitness,,,
ply596,Andreas,Kornmayer,Germany,9/21/1974,18,,Fitness,,,
ply597,Conall,Murtagh,Northern Ireland,6/29/1985,18,,Fitness,183,75,R
ply598,David,Rydings,England,,18,,Rehab,,,
ply599,Andreas,Schlumberger,Germany,7/23/1966,18,,Rehab,,,
ply600,Mark,Hulse,England,9/6/1971,18,,Physical,,,
ply601,Thomas,Gr?nemark,England,12/12/1975,18,,Individual,,,
ply602,Angel,Vales,Spain,2/1/1967,18,,Technique,,,
ply603,Vitor,Matos,England,,18,,Special,,,
ply604,James,French,England,,18,,Game,,,
ply605,Greg,Mathieson,England,,18,,Game,,,
ply606,Daniel,Spearritt,England,,18,,Game,,,
ply607,Viktor,Andersson,Sweden,3/30/2004,19,39,Goalkeeper,186,76,
ply608,Johan,Dahlin,Sweden,9/8/1986,19,27,Goalkeeper,192,94,R
ply609,Ismael,Diawara,Mali,11/11/1994,,,Goalkeeper,194,97,R
ply610,Melker,Ellborg,Sweden,5/22/2003,,1,Goalkeeper,191,84,
ply611,Andre Alvarez,Perez,Sweden,3/23/2005,19,42,Defender,,,
ply612,Felix,Beijmo,Sweden,1/31/1998,19,14,Defender,186,82,R
ply613,Matej,Chalus,Czech Republic,2/2/1998,19,23,Defender,190,89,R
ply614,Dennis,Hadzikadunic,Bosnia-Herzegovina,7/9/1998,19,21,Defender,186,81,R
ply615,Jonas,Knudsen,Denmark,9/16/1992,19,3,Defender,187,72,L
ply616,Niklas,Moisander,Finland,9/29/1985,19,4,Defender,183,77,L
ply617,Lasse,Nielsen,Denmark,1/8/1988,19,24,Defender,185,82,R
ply618,Martin,Olsson,Sweden,5/17/1988,19,13,Defender,180,78,L
ply619,Raymond,Adjei,Sweden,2/10/2004,19,44,Midfielder,,,
ply620,Jo Inge,Berget,Norway,9/11/1990,19,32,Midfielder,186,81,R
ply621,Anders,Christiansen,Denmark,6/8/1990,19,10,Midfielder,175,68,R
ply622,Romain,Gall,USA,1/31/1995,,,Midfielder,176,72,
ply623,Hugo,Larsson,Sweden,6/27/2004,19,31,Midfielder,187,63,
ply624,Oscar,Lewicki,Sweden,7/14/1992,19,6,Midfielder,170,67,
ply625,Emmanuel,Lomotey,Ghana,12/19/1997,19,40,Midfielder,190,79,R
ply626,Sergio,Pena,Peru,9/28/1995,19,8,Midfielder,178,70,R
ply627,Erdal,Rakip,North Macedonia,2/13/1996,19,7,Midfielder,178,71,R
ply628,S?en,Rieks,Denmark,4/7/1987,19,5,Midfielder,185,76,
ply629,Patriot,Sejdiu,Kosovo,5/5/2000,19,36,Midfielder,182,,L
ply630,Mahame,Siby,France,7/7/1996,19,25,Midfielder,191,84,R
ply631,Moustafa,Zeidan,Sweden,6/7/1998,19,20,Midfielder,174,72,L
ply632,Mohamed,Buya,Sierra Leone,1/10/1995,19,33,Forward,180,72,
ply633,Joseph,Ceesay,Sweden,6/3/1998,19,15,Forward,178,69,R
ply634,Mamadou,Diagne,Sweden,9/14/2003,19,41,Forward,,,
ply635,Isaac Kiese,Thelin,Sweden,6/24/1992,19,9,Forward,189,83,R
ply636,Adi,Nalic,Bosnia-Herzegovina,12/1/1997,19,22,Forward,190,83,
ply637,Ola,Toivonen,Sweden,7/3/1986,,,Forward,192,78,R
ply638,Jonnie,Fedel,Sweden,11/22/1966,19,,Goalkeeping,184,89,
ply639,Scott,Carson,England,9/3/1985,20,33,Goalkeeper,188,86,R
ply640,,Ederson,Brazil,8/17/1993,20,31,Goalkeeper,188,86,L
ply641,Stefan,Ortega,Germany,11/6/1992,20,18,Goalkeeper,185,88,R
